month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
221,000001.SZ,1,-0.0325861,0.38025,0.354989,0.207392,0.917663,-2.5572,-3.27798,-0.212634,0.0227384,0.315311,0.104907,-0.771661,-0.0558123,-0.089268,-0.0255761,0.219756,0.212672,0,0,-0.594887,-0.566827,0.107558,0.0706379,-1.49073,-2.69865,-0.139257,-0.190676,0,0,-0.0676291,0.147352,0.344224,-0.089677,0.0169514,0.291352,0.0309774,0.0944728,0.148782,0.222659,0.102189,0.00985493,0.0395018,0.101001,0.0902302,0.399134,0.741966,1.05421,0.210819,0.353445,0.395381,0.395591,-0.28019,-0.803673,0.136001,0.217565,0.245756,0.279489,-0.620421,-0.261586,-0.1707,-0.0740953,-0.578502,0.214951,0.281543,-0.687674,2.12176,-2.0138,-2.13452,2.14453,-0.862764,0.107492,0.235239,0.36487,0.930695,0.327252,1.03517,0.0887916,-0.23425,0.238027,-0.182305,0.336287,0.474901,0.56469
221,000002.SZ,1,0.11027,0.422146,0.70895,-1.03379,1.26013,0.885281,1.72932,0.817173,-0.765657,-0.229375,-0.806651,-0.0638305,-0.239592,-0.781297,0.262571,-1.29909,-0.822214,-0.820415,-0.650179,-1.01851,-0.785756,-0.360254,0.0123529,0.802272,0.428565,-0.788567,0.107481,-0.433068,-0.156862,-2.95998,-0.637787,-2.5391,0.514182,0.54534,-2.41045,-1.98246,-0.815454,-0.414509,-0.890547,-2.20515,-1.99206,-2.29312,-1.35459,-1.29668,-1.65748,-1.66296,-0.616315,-2.64494,-3.14371,-1.37311,-0.0266661,-1.26866,1.21284,-1.04465,-1.37773,-1.36923,-0.839829,-1.07941,-2.07738,-2.24645,-0.145431,1.70342,-0.577082,-2.46096,-2.50049,0.633726,-1.14189,-2.14922,-1.89979,-0.711064,-2.17788,-0.626721,0.737731,1.65667,-0.541673,-2.23522,0.231245,0.43791,0.613196,0.106895,0.314349,-0.212829,0.383745
221,000003.SZ,0,0.00233458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
221,000004.SZ,0,0.0588103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
221,000005.SZ,1,0.00504461,-0.420727,-1.06272,-1.20232,-1.20144,-0.690371,-0.513295,-0.972802,0.0480642,1.79362,0.0713975,-1.60077,0.0363313,-0.775659,0.247715,2.23465,0.608719,-0.00849168,0.0299611,-1.14463,-2.46497,-0.153542,-0.463413,-0.201527,-0.440221,1.36788,2.13471,-0.689967,-1.10563,0.595015,-1.43491,0.633349,0.322805,0.622626,-0.242931,0.944631,-0.738889,-0.283779,-1.01657,0.111813,0.663496,0.397858,-0.0311918,1.58032,1.13302,1.05879,0.455447,1.64286,0.261932,0.523505,-0.559876,0.632369,-0.565885,0.791269,0.277555,0.121426,-0.42283,1.75751,1.00757,0.887278,0.132126,1.09549,-0.0226891,-0.0397315,0.905467,-0.620665,0.654655,0.341789,0.669473,-0.351703,0.0769133,-1.41072,-1.5072,-1.03161,0.00935347,-1.3947,-0.390811,0.0449656,-0.0234332,-0.0086304,0.0256603,-0.341084,-0.169865
221,000006.SZ,1,0.215049,4.86E-05,0.379495,0.07716,-0.470194,0.969336,2.35672,1.95131,-2.01368,-2.72249,-1.18551,0.00129729,-0.979379,-0.0140823,-0.0884023,-0.181702,-0.0338656,0.688747,0.42002,0.553144,0.554969,-0.304459,-0.18601,2.17138,1.83531,-0.232666,-0.881361,-0.0805964,0.257235,0.0706515,0.0670381,-0.860578,-0.360009,0.209433,1.02072,-1.40537,-0.316259,-0.23473,0.358249,-0.283246,-0.98602,-0.844477,-0.396607,0.450183,0.972062,0.785128,1.02848,-0.636365,0.389852,0.0866433,0.124904,0.436183,-0.542122,-0.98568,0.0670575,0.146129,0.183695,-1.75699,-0.00929471,0.157855,0.387392,-0.147301,-0.00235559,-0.00584339,-0.208405,1.6167,-1.44335,-0.808964,-0.933205,-0.997345,0.245381,0.340217,1.00564,-0.0850034,0.543931,0.608725,0.187934,-0.0403943,0.501356,0.842391,1.54627,0.866766,0.749204
221,000007.SZ,1,0.200413,0.269806,0.633937,-1.05174,-1.38757,0.311146,0.371909,-0.0572024,0.0885045,-1.94864,0.13147,-0.493261,0.0668997,-0.977547,1.34852,1.28824,1.62285,3.41116,3.7041,-2.03701,2.04604,-1.89995,-1.89367,-0.470388,1.31444,0.979602,0.952626,2.31468,0.70665,1.13204,-0.857273,-3.04085,1.27355,1.6185,1.59551,-2.07673,-0.978649,0.593554,1.02778,-1.86763,-2.043,-1.90132,-1.78721,-2.91325,-2.71165,-2.53031,-2.38867,-1.94427,-0.769069,1.35776,2.5473,-0.8404,1.49138,-2.08878,-1.41664,-1.23117,-1.0197,-2.44539,-2.34326,-2.42189,-2.82557,-0.0617811,-0.0294926,3.33525,-1.44667,-2.23847,-2.79777,-2.70204,0.504542,-0.746975,-2.96468,0.280107,0.434464,0.322562,0.0172233,1.23262,0.178179,0.012184,0.0209565,0.0137449,0.0472505,0.0406258,0.0230859
221,000008.SZ,1,0.037591,-0.839562,-0.583893,-0.649639,-0.975702,0.446268,-0.541206,-1.41644,-0.644139,0.26318,-0.839777,-0.0265014,-1.01247,-0.90343,-0.767049,-0.83566,-0.603462,1.12066,1.1741,-0.23429,0.16296,-0.773036,-0.813357,-0.458753,-0.373602,0.970817,0.982856,0.363642,0.437236,-1.8476,-1.34103,1.31313,2.03226,-0.108989,-0.253137,1.58916,1.49677,0.842996,-0.132652,0.332604,1.24183,1.41717,1.22504,-0.822667,-0.448751,-0.57292,-0.526009,-0.338927,-0.00147989,-0.00162671,-0.120964,0.877779,-0.142808,0.546201,0.896297,0.825567,0.438678,0.425067,1.01596,0.974288,-0.355959,-0.273126,0.177036,1.128,-1.80363,-0.665506,2.4003,2.32895,-0.903416,0.552281,0.83063,-1.31601,-0.978213,-1.30483,0.195149,-0.74172,0.421216,0.636619,0.0475746,-0.820552,0.233232,-1.43799,-0.499968
221,000009.SZ,1,-0.0500633,0.407165,-0.764768,-1.02356,-0.631689,1.05641,-0.433702,-0.207891,-1.08906,0.396902,-0.272823,-0.0222582,-0.694202,-0.508509,0.621406,-0.262443,0.359732,0.694534,0.686017,-0.518302,-0.400954,-0.486749,-0.47631,-0.232233,-0.4147,-0.319065,-1.17061,0.056963,0.0343672,-1.55132,0.38949,-1.10056,-0.647749,-0.694742,-0.575343,-2.11607,-1.78203,-1.38802,-1.65862,-0.492814,-1.93535,-2.24024,-2.07149,-0.62951,-0.484637,-0.0134756,0.105271,-0.985147,-0.715503,-0.584221,-1.04129,0.212923,-0.552198,-2.15495,-1.53211,-1.27746,-1.3377,-1.81372,-1.47157,-1.22186,-1.70663,-1.27211,-0.322926,0.100258,-0.475674,0.381646,-2.006,-1.37716,0.777962,-0.39596,-0.180623,-1.24907,-1.79207,-1.25453,-1.8244,-1.7964,-1.02364,-0.844276,-0.494126,-1.02399,-0.166487,-0.263019,0.0167086
221,000010.SZ,1,0.0299125,-0.681787,-0.875161,0.0253949,-1.14473,-0.425376,-1.79212,-1.10738,2.32532,0.984981,2.38123,0.00978978,2.4762,-0.363936,-0.461867,-0.245051,-0.25397,0.629492,0.494,0.135413,-0.139336,-0.886466,-1.05653,-1.5527,-2.08362,0.560105,-1.04257,-0.190389,-0.178792,0.649644,-0.752097,0.150941,0.498839,1.03048,-0.0910333,-1.06813,0.355654,0.588196,-0.370226,-1.3946,-1.3902,-0.992086,-0.0814465,0.630697,1.27764,0.497583,0.491926,0.800337,1.00544,0.706468,-0.175006,0.74755,1.20745,-0.228078,0.297414,0.0737605,-0.117727,-0.293181,0.305757,-0.0749058,-0.649251,-1.1812,-0.0177761,-0.0440962,0.289861,-1.87777,0.18272,-0.864309,-0.814783,-0.616878,-1.3194,0.883174,0.179783,-0.48606,2.52713,-0.247298,-0.43178,0.740461,0.511565,0.309349,0.391118,-0.0591963,-0.0268717
