month,stock,code,status,hs300_return,curr_return,excess_return_curr,next_return,excess_return_next,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias,CON_BP,CON_EP,CON_EPS,CON_GPE,CON_NP,CON_ROE,CON_BP_REL,CON_EP_REL,CON_EPS_REL,CON_GPE_REL,CON_NP_REL,CON_ROE_REL
185,000001.SZ,000001,1,0.055124,0.1054001,0.0502761,0.1245763,0.0834653,0.279015,0.296932,0.0849651,0.099141,-1.34475,1.5916,-1.76034,-0.731788,0.256987,0.0529466,-0.992998,0.124845,-0.250374,-0.10546,0.191541,0.168446,0.0,0.0,0.217716,0.206119,0.0765126,0.0503255,0.115091,1.06938,-0.0997185,-0.183794,0.0,0.0,-0.159155,-0.366139,-0.45074,0.630046,0.416943,-0.430352,-0.65759,-0.0965937,-0.17496,-0.509805,-0.0534531,-0.5095,-0.503886,-0.443203,-1.46183,-1.03418,-1.09232,-1.35339,-1.09805,-1.66463,-2.0283,-2.03794,-1.36828,-0.909267,-0.579626,-0.610939,-0.685138,-0.416108,-1.36302,-1.32112,-1.77728,-1.00015,-0.321868,0.470983,0.350946,-0.454835,2.16906,-1.94993,-1.8188,0.103145,-0.475567,0.00904752,0.272898,0.266995,1.75039,-0.185262,1.10792,0.0365516,0.34219,0.275347,-1.63748,0.251087,0.121932,0.111387
185,000002.SZ,000002,1,0.055124,-0.0244705,-0.0795945,0.0167494,-0.0243616,0.900782,0.962987,0.549809,0.987351,-2.23014,-1.93438,0.0807382,0.371759,-0.191258,-0.620633,-2.54557,-0.634155,-0.321626,0.00108901,-1.11561,-0.863694,-0.626776,-0.443697,-0.334664,-0.372285,-0.441824,-0.273858,-0.516797,-0.320437,-1.10803,0.536686,-0.201284,-0.0170282,-3.18697,1.29806,1.20503,1.55906,1.34858,0.787737,0.25847,0.142404,0.2151,-0.0541037,0.954071,0.582795,0.303108,0.142088,0.94586,0.550278,0.606797,0.43467,0.639613,-0.31454,-0.162356,-0.0926719,0.182174,-0.0555312,-0.657067,-0.618509,-0.59149,-0.591226,-0.405762,-0.685036,-0.540137,-0.597804,-0.762735,-0.185322,1.13638,0.466546,2.03615,2.72039,2.50725,2.01498,1.23439,1.33297,1.02987,1.03449,1.61538,0.807626,-2.04074,-0.185937,0.704649,0.421461,-0.232812,0.208583,-0.214123,-0.0979844
185,000003.SZ,000003,0,0.055124,0.0217308,-0.0333932,-0.011237699999999996,-0.0523487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,000004.SZ,000004,1,0.055124,0.21299300000000002,0.157869,0.048257,0.007146,-0.0712938,0.209125,-0.738873,-0.337286,0.422585,0.16617,-0.236155,0.303997,0.281963,2.68826,0.109468,0.282914,-0.641657,0.295975,-0.0305753,0.250049,0.568968,0.395424,-0.791566,-0.272759,-0.774464,-0.256854,-0.700469,0.201983,0.277895,0.27219,-0.0422087,-0.162538,2.00508,-0.42307,-1.68843,-0.432405,-0.518757,-0.943361,-2.13514,-0.662312,-1.25871,-0.898612,1.58082,-1.06612,-1.34826,-1.25483,-2.7471,-1.00531,-0.63417,-0.119791,-2.68684,-0.987362,-0.738812,-0.246979,0.0200586,-0.776656,-1.46002,-0.0379531,0.0684348,0.320836,-1.93391,-0.368548,-0.332327,-0.138581,-0.560088,0.041077,-0.0758034,0.000436251,2.07046,-2.3977,-2.45951,0.548435,-1.00743,0.00565743,0.226016,0.603641,0.776711,-0.0130365,2.50486,0.617494,0.0586738,0.052323,0.0702483,0.0468101,0.0759045,0.074718
185,000005.SZ,000005,1,0.055124,0.11590120000000001,0.0607772,0.017450800000000002,-0.0236602,-0.80804,-1.79214,-0.682268,-0.812818,-0.393492,-0.625804,-0.746715,0.0900409,-1.78833,0.124031,-0.605954,0.107901,-1.31189,-0.397059,-1.1049,0.0455969,-2.04836,0.151646,-2.38964,-2.59585,-0.490286,-0.50615,1.77497,-1.33806,1.17725,1.82208,-0.599584,-1.16894,0.759979,0.805042,-0.522071,0.302297,0.716311,0.901492,-0.419763,-0.12196,0.451271,0.627348,-1.60697,-1.56449,-0.574602,0.0589557,-0.9075,0.489971,0.970972,1.27062,-0.283893,0.766175,0.940762,0.82604,1.52839,0.325838,0.55021,0.734121,0.804122,0.826435,-0.417147,0.279017,0.397817,0.224335,-0.213612,0.0156664,2.98429,0.0502172,-0.912477,0.363965,-0.267585,-0.702174,-0.233616,-1.15137,0.0862005,0.230223,0.29623,-0.00497199,0.955331,0.235507,0.0223777,0.0199555,0.0267921,0.017853,0.0289493,0.0284968
185,000006.SZ,000006,1,0.055124,0.1336529,0.0785289,0.0237732,-0.0173378,1.73523,1.9038,0.481534,-0.096244,1.70639,2.53494,1.06534,-0.675849,-1.83305,-0.362261,0.0465872,-0.434,1.14563,0.870718,0.612139,0.555857,0.526015,0.628722,1.76652,1.56314,-0.0244794,-0.044638,0.279901,0.990898,0.217649,-0.750002,0.402684,0.0939738,-0.43444,-0.157478,-0.600533,-0.324901,0.255434,0.0241629,0.280069,0.2865,0.422245,0.331802,-0.4174,0.033688,0.277745,0.354787,0.0764533,0.43494,0.726878,0.79951,0.371294,0.500496,0.429728,0.40295,0.682384,-0.940666,0.0890447,0.324981,0.364719,0.309527,-0.48829,0.194657,0.268277,-0.200445,-1.07641,-0.117582,0.469554,0.034666,-0.654523,-1.7672,-1.86645,-0.418944,-2.57613,-0.78366,1.01793,2.02995,0.306321,0.379764,2.09004,1.0427,0.786091,1.1227,1.65963,0.496356,1.6764,1.33598
185,000007.SZ,000007,1,0.055124,-0.0214199,-0.0765439,-0.026985699999999994,-0.0680967,-0.180175,-0.0295818,-1.37791,-1.41784,0.187459,-0.876184,-0.599523,-0.120844,-1.48547,-2.09098,0.0391484,-0.853781,-1.38033,-0.487043,-0.450987,-0.530397,3.79237,1.88482,-1.95842,-0.528479,-1.62967,-0.967526,-1.96124,2.2249,-0.58339,1.13702,-0.761852,-0.690709,0.716004,-0.568262,0.889956,0.296393,0.574573,0.079815,0.896921,0.269411,1.65673,1.23772,-2.06102,-0.55143,0.296647,0.932658,-1.09022,-1.1002,-1.62821,-2.59712,0.0680383,0.173402,-0.743362,-1.09263,-0.79846,2.24169,0.50738,0.195633,-0.246601,-0.0305347,0.370986,-0.0508069,-0.88466,-0.730732,-0.200302,0.0146902,3.27954,-1.96191,-2.72449,2.68681,1.42016,-0.0139731,-0.408079,-0.624357,0.0808292,0.215877,0.277772,-0.00466217,0.895802,0.220832,0.0209833,0.0187121,0.0251226,0.0167405,0.0271454,0.0267211
185,000008.SZ,000008,1,0.055124,0.04136,-0.013764,0.011222200000000002,-0.0298888,-0.677291,-0.772564,-1.12702,-2.00038,0.24952,-0.352431,-1.22219,2.30739,2.28495,2.51292,2.57278,2.60412,-0.484467,0.0811435,-0.148932,0.989464,1.6944,1.91858,0.442804,0.0486686,-1.76404,-0.881567,0.500295,0.185245,1.42551,0.958974,2.40244,1.12936,0.46644,-1.34125,1.55322,-0.143525,-1.14615,-1.43294,0.200861,-1.84802,-2.44494,-1.2604,1.31557,0.667416,-0.806316,-1.78931,-1.26598,-1.92781,-2.25234,-1.79946,-0.318755,-1.8992,-1.85781,-0.990307,-0.221402,0.762015,-0.659696,-1.9025,-0.997309,-0.23321,-1.21184,-2.76397,-2.48262,-1.02906,-0.130251,0.00955267,-0.0176285,-2.27243,2.28844,0.83106,1.98029,1.0395,-0.0692073,2.04596,-1.64569,-1.62295,-0.994116,-0.706289,-1.2862,-0.695722,-1.78965,-1.2021,-2.02416,-0.42876,-0.0250699,-0.036072
185,000009.SZ,000009,1,0.055124,-0.06608800000000001,-0.121212,0.0746836,0.0335726,-1.46751,-1.8425,-0.986913,-0.440492,-0.665291,-0.193619,-0.992732,-0.89764,-1.30727,-0.70998,-0.816734,-1.14824,-0.465072,-0.846049,-0.454134,-0.55846,-0.00144664,-0.0789486,-0.467089,-1.40112,0.0809653,-0.00521317,-0.120224,0.121992,0.271916,0.127045,-0.039192,-0.260194,-1.21904,-0.545362,1.70524,0.77318,-0.917496,0.0692715,0.874792,0.971667,-1.21828,-0.492874,1.11346,1.12743,0.827673,0.198783,1.14059,-0.885791,-0.946927,-0.145566,0.855912,-0.336027,-1.0268,-0.313063,-0.46848,0.702547,-0.436191,-1.00075,-1.25338,-0.780111,0.511919,-0.210874,-0.684985,0.266414,0.339022,-0.0248639,0.0458839,0.599425,0.289034,1.36739,1.24604,2.11925,1.62172,1.42677,-1.95475,-2.56864,-1.4212,-0.940436,-2.204,-1.09299,0.0844833,1.27802,0.719258,2.09068,1.64671,1.77399
185,000010.SZ,000010,0,0.055124,0.156157,0.101033,0.0118837,-0.0292273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
