,月份,股票代码,股票名称
0,2005-04,600177,雅戈尔
0,2005-04,709,河钢股份
0,2005-04,600170,上海建工
0,2005-04,600188,兖州煤业
0,2005-04,600221,海航控股
0,2005-04,600583,海油工程
0,2005-04,630,铜陵有色
0,2005-04,600100,同方股份
0,2005-04,600153,建发股份
0,2005-04,402,金融街
0,2005-04,792,盐湖股份
0,2005-04,600739,辽宁成大
0,2005-04,60,中金岭南
0,2005-04,600649,城投控股
0,2005-04,9,中国宝安
0,2005-04,600256,广汇能源
0,2005-04,39,中集集团
0,2005-04,61,农产品
0,2005-04,778,新兴铸管
0,2005-04,800,一汽解放
0,2005-04,600839,四川长虹
0,2005-04,729,燕京啤酒
0,2005-04,600600,青岛啤酒
0,2005-04,600642,申能股份
0,2005-04,937,冀中能源
0,2005-04,983,山西焦煤
0,2005-04,24,招商地产
0,2005-04,839,中信国安
0,2005-04,878,云南铜业
0,2005-04,960,锡业股份
0,2005-04,600108,亚盛集团
0,2005-04,600348,华阳股份
0,2005-04,401,冀东水泥
0,2005-04,600058,五矿发展
0,2005-04,600832,明珠集团
0,2005-04,12,南玻集团
0,2005-04,758,中色股份
0,2005-04,600096,云天化
0,2005-04,600123,兰花科创
0,2005-04,600895,张江高科
0,2005-04,528,柳工
0,2005-04,933,神火煤电
0,2005-04,600266,北京城建
0,2005-04,600598,北大荒
0,2005-04,600694,大商股份
0,2005-04,600811,东方集团
0,2005-04,600997,开滦股份
0,2005-04,807,云铝股份
0,2005-04,600005,武钢股份
0,2005-04,600508,上海能源
0,2005-04,600779,水井坊
0,2005-04,600881,亚泰集团
0,2005-04,527,美的电器
0,2005-04,825,太钢不锈
0,2005-04,898,鞍钢股份
0,2005-04,600037,歌华有线
0,2005-04,21,深科技
0,2005-04,680,山推股份
0,2005-04,600183,生益科技
0,2005-04,600307,酒钢宏兴
0,2005-04,600320,振华重工
0,2005-04,600500,中化国际
0,2005-04,600812,华北制药
0,2005-04,27,深圳能源
0,2005-04,600008,首创环保
0,2005-04,600026,中远海能
0,2005-04,600428,中远海特
0,2005-04,600635,大众公用
0,2005-04,600808,马钢股份
0,2005-04,600879,航天电子
0,2005-04,31,大悦城
0,2005-04,927,中国铁物
0,2005-04,600004,白云机场
0,2005-04,600220,江苏阳光
0,2005-04,600269,赣粤高速
0,2005-04,600675,中华企业
