成分股代码_CompoStkCd,成分股名称_CompoStkNm,开始日期_BegDt,结束日期_EndDt
656,金科股份,2019-06-17,2021-12-10
728,国元证券,2008-07-01,2021-12-10
860,顺鑫农业,2020-06-15,2021-12-10
2153,石基信息,2014-12-15,2021-12-10
2384,东山精密,2020-12-14,2021-12-10
2456,欧菲光,2013-12-16,2021-12-10
2463,沪电股份,2020-06-15,2021-12-10
2508,老板电器,2017-06-12,2021-12-10
2558,巨人网络,2017-06-12,2021-12-10
2673,西部证券,2013-01-04,2021-12-10
2739,万达电影,2019-06-17,2021-12-10
2773,康弘药业,2018-12-17,2021-12-10
2939,长城证券,2019-06-17,2021-12-10
2945,华林证券,2019-06-17,2021-12-10
300136,信维通信,2017-12-11,2021-12-10
600118,中国卫星,2007-01-04,2021-12-10
600233,圆通速递,2017-06-12,2021-12-10
600299,安迪苏,2019-06-17,2021-12-10
600340,华夏幸福,2013-01-04,2021-12-10
600482,中国动力,2016-12-12,2021-12-10
600521,华海药业,2021-06-15,2021-12-10
600522,中天科技,2017-06-12,2021-12-10
600703,三安光电,2011-01-04,2021-12-10
600705,中航产融,2013-12-16,2021-12-10
601077,渝农商行,2020-06-15,2021-12-10
601555,东吴证券,2012-07-02,2021-12-10
601727,上海电气,2014-12-15,2021-12-10
601872,招商轮船,2020-12-14,2021-12-10
1,平安银行,2005-04-08,
2,万科,2005-04-08,
63,中兴通讯,2005-04-08,
66,中国长城,2020-06-15,
69,华侨城,2005-04-08,
100,TCL科技,2009-01-05,
157,中联重科,2005-04-08,
166,申万宏源,2015-01-26,
333,美的集团,2013-09-18,
338,潍柴动力,2008-01-02,
425,徐工机械,2005-04-08,
538,云南白药,2005-07-01,
568,泸州老窖,2005-04-08,
596,古井贡酒,2019-06-17,
625,长安汽车,2005-04-08,
651,格力电器,2005-04-08,
661,长春高新,2018-12-17,
703,恒逸石化,2018-12-17,
708,中信特钢,2020-06-15,
725,京东方,2012-07-02,
768,中航西飞,2006-01-04,
776,广发证券,2011-01-04,
783,长江证券,2008-07-01,
786,北新建材,2018-06-11,
800,一汽解放,2021-06-15,
858,五粮液,2005-04-08,
876,新希望,2007-07-02,
895,双汇发展,2008-01-02,
938,紫光股份,2016-12-12,
963,华东医药,2013-07-01,
977,浪潮信息,2020-06-15,
1979,招商蛇口,2015-12-30,
2001,新和成,2018-12-17,
2007,华兰生物,2010-01-04,
2008,大族激光,2014-06-16,
2024,苏宁易购,2005-07-01,
2027,分众传媒,2016-06-13,
2032,苏泊尔,2018-12-17,
2044,美年健康,2017-06-12,
2049,紫光国微,2020-12-14,
2050,三花智控,2018-06-11,
2120,韵达股份,2018-12-17,
2129,中环股份,2020-06-15,
2142,宁波银行,2008-01-02,
2157,正邦科技,2020-06-15,
2179,中航光电,2018-12-17,
2202,金风科技,2008-07-01,
2230,科大讯飞,2013-12-16,
