,month_details,stock,stock_name,month
0,2005-04,600177,雅戈尔,85
1,2005-04,000709,河钢股份,85
2,2005-04,600170,上海建工,85
3,2005-04,600188,兖州煤业,85
4,2005-04,600221,海航控股,85
5,2005-04,600583,海油工程,85
6,2005-04,000630,铜陵有色,85
7,2005-04,600100,同方股份,85
8,2005-04,600153,建发股份,85
9,2005-04,000402,金融街,85
10,2005-04,000792,盐湖股份,85
11,2005-04,600739,辽宁成大,85
12,2005-04,000060,中金岭南,85
13,2005-04,600649,城投控股,85
14,2005-04,000009,中国宝安,85
15,2005-04,600256,广汇能源,85
16,2005-04,000039,中集集团,85
17,2005-04,000061,农产品,85
18,2005-04,000778,新兴铸管,85
19,2005-04,000800,一汽解放,85
20,2005-04,600839,四川长虹,85
21,2005-04,000729,燕京啤酒,85
22,2005-04,600600,青岛啤酒,85
23,2005-04,600642,申能股份,85
24,2005-04,000937,冀中能源,85
25,2005-04,000983,山西焦煤,85
26,2005-04,000024,招商地产,85
27,2005-04,000839,中信国安,85
28,2005-04,000878,云南铜业,85
29,2005-04,000960,锡业股份,85
30,2005-04,600108,亚盛集团,85
31,2005-04,600348,华阳股份,85
32,2005-04,000401,冀东水泥,85
33,2005-04,600058,五矿发展,85
34,2005-04,600832,明珠集团,85
35,2005-04,000012,南玻集团,85
36,2005-04,000758,中色股份,85
37,2005-04,600096,云天化,85
38,2005-04,600123,兰花科创,85
39,2005-04,600895,张江高科,85
40,2005-04,000528,柳工,85
41,2005-04,000933,神火煤电,85
42,2005-04,600266,北京城建,85
43,2005-04,600598,北大荒,85
44,2005-04,600694,大商股份,85
45,2005-04,600811,东方集团,85
46,2005-04,600997,开滦股份,85
47,2005-04,000807,云铝股份,85
48,2005-04,600005,武钢股份,85
49,2005-04,600508,上海能源,85
50,2005-04,600779,水井坊,85
51,2005-04,600881,亚泰集团,85
52,2005-04,000527,美的电器,85
53,2005-04,000825,太钢不锈,85
54,2005-04,000898,鞍钢股份,85
55,2005-04,600037,歌华有线,85
56,2005-04,000021,深科技,85
57,2005-04,000680,山推股份,85
58,2005-04,600183,生益科技,85
59,2005-04,600307,酒钢宏兴,85
60,2005-04,600320,振华重工,85
61,2005-04,600500,中化国际,85
62,2005-04,600812,华北制药,85
63,2005-04,000027,深圳能源,85
64,2005-04,600008,首创环保,85
65,2005-04,600026,中远海能,85
66,2005-04,600428,中远海特,85
67,2005-04,600635,大众公用,85
68,2005-04,600808,马钢股份,85
69,2005-04,600879,航天电子,85
70,2005-04,000031,大悦城,85
71,2005-04,000927,中国铁物,85
72,2005-04,600004,白云机场,85
73,2005-04,600220,江苏阳光,85
74,2005-04,600269,赣粤高速,85
75,2005-04,600675,中华企业,85
76,2005-04,600717,天津港,85
77,2005-04,600631,百联股份(合并前),85
78,2005-04,000900,现代投资,85
79,2005-04,600006,东风汽车,85
80,2005-04,600033,福建高速,85
81,2005-04,600087,南京油运,85
82,2005-04,600210,紫江企业,85
83,2005-04,600350,山东高速,85
84,2005-04,600597,光明乳业,85
85,2005-04,600601,方正科技,85
