,开始日期_BegDt,结束日期_EndDt,成分股代码_CompoStkCd,成分股名称_CompoStkNm
0,2005-04,2005-07,"000029, 000532, 000562, 000921, 600072, 600228, 600271, 600489, 600641, 600710, 600748, 600757, 600761, 600838","深房集团, 华金资本, 宏源证券, 海信家电, 中船科技, 返利科技, 航天信息, 中金黄金, 万业企业, 苏美达, 上实发展, 长江传媒, 安徽合力, 上海九百"
1,2005-04,2006-01,"000096, 000420, 000498, 000612, 000763, 000817, 000823, 000831, 600074, 600135, 600630, 600638","广聚能源, 吉林化纤, 山东路桥, 焦作万方, 锦州石化, 辽河油田, 超声电子, 五矿稀土, 保千里, 乐凯胶片, 龙头股份, 新黄浦"
2,2005-04,2006-04,"600002, 000406, 000866, 000956","齐鲁石化, 石油大明, 扬子石化, 中原油气"
3,2005-04,2006-07,"000016, 000429, 000507, 000511, 000533, 000543, 000571, 000573, 000666, 000727, 000735, 000737, 000886, 000916, 000949, 600007, 600068, 600103, 600190, 600608, 600705, 600707, 600726, 600744, 600790, 600805, 600866","康佳集团, 粤高速, 珠海港, 烯碳新材, 顺钠股份, 皖能电力, 大洲控股, 粤宏远, 经纬纺机, 冠捷科技, 罗牛山, 南风化工, 海南高速, 华北高速, 新乡化纤, 中国国贸, 葛洲坝, 青山纸业, 锦州港, 上海科技, 中航产融, 彩虹股份, 华电能源, 华银电力, 轻纺城, 悦达投资, 星湖科技"
4,2005-04,2006-08,000780,平庄能源
5,2005-04,2006-10,990018,上港集箱
6,2005-04,2007-01,"600894, 000518, 000659, 000726, 000733, 000806, 000920, 000959, 000968, 600057, 600091, 600115, 600126, 600138, 600166, 600207, 600215, 600408, 600581, 600621, 600652, 600654, 600674, 600854","广日股份, 四环生物, 珠海中富, 鲁泰纺织, 振华科技, 银河生物, 沃顿科技, 首钢股份, 蓝焰控股, 厦门象屿, 明天科技, 中国东航, 杭钢股份, 中青旅, 福田汽车, 安彩高科, 长春经开, 安泰集团, 八一钢铁, 华鑫股份, 游久游戏, 中安科, 川投能源, 春兰股份"
7,2005-04,2007-02,000939,凯迪生态
8,2005-04,2007-03,600231,凌钢股份
9,2005-04,2007-04,"600205, 600296","山东铝业, 兰州铝业"
